feature,importance
bwd_packet_length_mean,0.07957526941205584
bwd_packet_length_std,0.07583836580737985
packet_length_variance,0.07338741903095646
packet_length_std,0.06470796819064795
avg_bwd_segment_size,0.06042321677152782
max_packet_length,0.046077497251567213
subflow_bwd_bytes,0.03941390815182242
bwd_packet_length_max,0.038702739038396654
average_packet_size,0.035203290802668964
subflow_fwd_bytes,0.024000492946917
total_length_of_bwd_packets,0.02351868453349896
total_fwd_packets,0.02210608557603649
destination_port,0.021805295888288338
subflow_fwd_packets,0.0215604542766972
total_length_of_fwd_packets,0.021005760935827077
packet_length_mean,0.018142073612957013
fwd_iat_max,0.01715037438429893
avg_fwd_segment_size,0.015847834657234324
fwd_packet_length_max,0.015548591512759951
act_data_pkt_fwd,0.015392794729671855
fwd_header_length55,0.014108185162830295
min_seg_size_forward,0.013972835210231642
fwd_header_length34,0.012454216427007897
subflow_bwd_packets,0.012416680135626228
total_backward_packets,0.01210784106412805
bwd_packets_s,0.01190253481289891
psh_flag_count,0.011052031653533839
flow_iat_std,0.010077259553086916
fwd_packet_length_mean,0.009983299395204091
ack_flag_count,0.00990339599972216
init_win_bytes_forward,0.00962109845057016
flow_packets_s,0.009454630550882661
fwd_iat_mean,0.00943521540621262
fwd_iat_std,0.009183474225352116
bwd_header_length,0.008622661663916998
fwd_iat_min,0.00766712399427192
idle_max,0.007460697741446299
init_win_bytes_backward,0.007267336390450787
flow_bytes_s,0.007134580144236747
min_packet_length,0.006733457045418767
flow_iat_max,0.0064868102699185935
flow_iat_mean,0.006478311794582645
urg_flag_count,0.00626143965303632
fwd_iat_total,0.005993943336300155
flow_duration,0.0051081316252235874
idle_mean,0.004492181670572518
fwd_packets_s,0.004188544250234616
idle_min,0.004003275243443879
fwd_packet_length_std,0.003837912558181472
bwd_iat_max,0.003062341394115348
bwd_iat_min,0.002375244145443138
active_min,0.0020947844792284192
fwd_packet_length_min,0.002079204815679723
down_up_ratio,0.0018993612345336803
bwd_iat_total,0.0018107999332942271
bwd_iat_mean,0.0016817062854699695
flow_iat_min,0.0016088008123183411
bwd_iat_std,0.0015479441282262734
bwd_packet_length_min,0.0012948596666194684
fin_flag_count,0.001145853601083656
active_max,0.0007389876670045067
active_mean,0.0005991606254577387
active_std,0.0005351484031799552
idle_std,0.0003446922363277179
syn_flag_count,0.00018593778530224647
fwd_psh_flags,0.00017568754639428558
cwe_flag_count,1.497693362230097e-06
fwd_urg_flags,4.647959605565344e-07
ece_flag_count,1.870324143155845e-07
rst_flag_count,1.1277885100246212e-07
bwd_urg_flags,0.0
bwd_avg_packets_bulk,0.0
fwd_avg_bytes_bulk,0.0
fwd_avg_packets_bulk,0.0
bwd_psh_flags,0.0
fwd_avg_bulk_rate,0.0
bwd_avg_bulk_rate,0.0
bwd_avg_bytes_bulk,0.0
